Precursor m/z,Fragment m/z,Fragment Intensity
"Precursor(Weight=535.772527, Charge=2)",1350.8179931640625,55.518677
"Precursor(Weight=535.772527, Charge=2)",1437.6280517578125,21.84091
"Precursor(Weight=535.772527, Charge=2)",1463.3818359375,39.31579
"Precursor(Weight=535.772527, Charge=2)",1463.6673583984375,51.52016
"Precursor(Weight=535.772527, Charge=2)",1675.425048828125,61.669117
"Precursor(Weight=536.800747, Charge=2)",55.05348205566406,5051.3833
"Precursor(Weight=536.800747, Charge=2)",56.04764175415039,378.27737
"Precursor(Weight=536.800747, Charge=2)",56.55995559692383,71.740944
"Precursor(Weight=536.800747, Charge=2)",57.055335998535156,85.6868
"Precursor(Weight=536.800747, Charge=2)",57.05697250366211,343.24072
"Precursor(Weight=536.800747, Charge=2)",60.04621887207031,267.375
"Precursor(Weight=536.800747, Charge=2)",70.02784729003906,120.04407
"Precursor(Weight=536.800747, Charge=2)",71.9111328125,52.236843
"Precursor(Weight=536.800747, Charge=2)",72.08052062988281,105350.47
"Precursor(Weight=536.800747, Charge=2)",72.11265563964844,2804.5186
"Precursor(Weight=536.800747, Charge=2)",72.13545227050781,254.09204
"Precursor(Weight=536.800747, Charge=2)",72.17948913574219,55.346153
"Precursor(Weight=536.800747, Charge=2)",72.1857681274414,10.208333
"Precursor(Weight=536.800747, Charge=2)",72.25724029541016,23.367647
"Precursor(Weight=536.800747, Charge=2)",72.33980560302734,16.173077
"Precursor(Weight=536.800747, Charge=2)",72.38935089111328,77.90582
"Precursor(Weight=536.800747, Charge=2)",72.39863586425781,20.642857
"Precursor(Weight=536.800747, Charge=2)",72.43685913085938,57.01389
"Precursor(Weight=536.800747, Charge=2)",72.50225067138672,13.090909
"Precursor(Weight=536.800747, Charge=2)",72.68894958496094,17.657608
"Precursor(Weight=536.800747, Charge=2)",72.69507598876953,83.619385
"Precursor(Weight=536.800747, Charge=2)",72.78681182861328,77.20464
"Precursor(Weight=536.800747, Charge=2)",72.90838623046875,12.25
"Precursor(Weight=536.800747, Charge=2)",72.92082214355469,25.570946
"Precursor(Weight=536.800747, Charge=2)",72.92976379394531,38.93883
"Precursor(Weight=536.800747, Charge=2)",73.06938171386719,93.00543
"Precursor(Weight=536.800747, Charge=2)",73.08355712890625,2338.2942
"Precursor(Weight=536.800747, Charge=2)",73.25858306884766,11.666667
"Precursor(Weight=536.800747, Charge=2)",73.36985778808594,24.60357
"Precursor(Weight=536.800747, Charge=2)",73.57538604736328,60.38075
"Precursor(Weight=536.800747, Charge=2)",73.5948486328125,92.673615
"Precursor(Weight=536.800747, Charge=2)",74.06137084960938,144.18878
"Precursor(Weight=536.800747, Charge=2)",76.52375030517578,25.3125
"Precursor(Weight=536.800747, Charge=2)",78.07349395751953,72.51519
"Precursor(Weight=536.800747, Charge=2)",81.06976318359375,178.02797
"Precursor(Weight=536.800747, Charge=2)",83.0606689453125,186.84346
"Precursor(Weight=536.800747, Charge=2)",84.04364776611328,4507.487
"Precursor(Weight=536.800747, Charge=2)",84.04613494873047,260.00494
"Precursor(Weight=536.800747, Charge=2)",84.06156158447266,25.185606
"Precursor(Weight=536.800747, Charge=2)",84.08120727539062,169.14583
"Precursor(Weight=536.800747, Charge=2)",84.25682067871094,89.57447
"Precursor(Weight=536.800747, Charge=2)",85.02759552001953,384.66602
"Precursor(Weight=536.800747, Charge=2)",85.0470962524414,155.94589
"Precursor(Weight=536.800747, Charge=2)",86.09599304199219,14246.88
"Precursor(Weight=536.800747, Charge=2)",86.11408233642578,96.025
"Precursor(Weight=536.800747, Charge=2)",86.14710998535156,28.529411
"Precursor(Weight=536.800747, Charge=2)",87.0936279296875,248.8034
"Precursor(Weight=536.800747, Charge=2)",87.09880065917969,663.4382
"Precursor(Weight=536.800747, Charge=2)",87.11798095703125,43.3
"Precursor(Weight=536.800747, Charge=2)",87.84245300292969,71.06586
"Precursor(Weight=536.800747, Charge=2)",88.03913879394531,765.21436
"Precursor(Weight=536.800747, Charge=2)",88.68952178955078,54.734848
"Precursor(Weight=536.800747, Charge=2)",90.05471801757812,13975.01
"Precursor(Weight=536.800747, Charge=2)",90.08968353271484,83.664154
"Precursor(Weight=536.800747, Charge=2)",90.09239959716797,19.322369
"Precursor(Weight=536.800747, Charge=2)",90.10884094238281,14.532895
"Precursor(Weight=536.800747, Charge=2)",90.14581298828125,47.75514
"Precursor(Weight=536.800747, Charge=2)",91.05140686035156,175.81903
"Precursor(Weight=536.800747, Charge=2)",91.05866241455078,17.266304
"Precursor(Weight=536.800747, Charge=2)",95.08419036865234,237.79167
"Precursor(Weight=536.800747, Charge=2)",98.20645141601562,61.67857
"Precursor(Weight=536.800747, Charge=2)",101.07083892822266,6841.955
"Precursor(Weight=536.800747, Charge=2)",101.10968780517578,20.004032
"Precursor(Weight=536.800747, Charge=2)",102.03754425048828,70.56
"Precursor(Weight=536.800747, Charge=2)",102.05482482910156,11517.953
"Precursor(Weight=536.800747, Charge=2)",102.0738296508789,22.017857
"Precursor(Weight=536.800747, Charge=2)",102.08405303955078,11.125
"Precursor(Weight=536.800747, Charge=2)",102.09343719482422,87.03107
